"stop,name_tc,name_en"
"001209,""蘇浙公學, 寶馬山道"",""Kiangsu-Chekiang College, Braemar Hill Road"""
"001210,""豪景, 寶馬山道"",""Ho King View, Braemar Hill Road"""
"001211,""賽西湖大廈, 寶馬山道"",""Braemar Hill Mansions, Braemar Hill Road"""
"001212,""賽西湖公園, 寶馬山道"",""Choi Sai Woo Park, Braemar Hill Road"""
"001213,""維多利亞公園, 高士威道"",""Victoria Park, Causeway Road"""
"001214,""皇仁書院, 高士威道"",""Queen's College, Causeway Road"""
"001215,""香港中央圖書館, 高士威道"",""Hong Kong Central Library, Causeway Road"""
"001216,""阿公岩道, 柴灣道"",""A Kung Ngam Road, Chai Wan Road"""
"001217,""鯉魚門公園, 柴灣道"",""Lei Yue Mun Park, Chai Wan Road"""
"001218,""大潭道, 柴灣道"",""Tai Tam Road, Chai Wan Road"""
"001219,""東區醫院, 柴灣道"",""Eastern Hospital, Chai Wan Road"""
"001220,""高威閣, 柴灣道"",""Koway Court, Chai Wan Road"""
"001221,""康民街, 柴灣道"",""Hong Man Street, Chai Wan Road"""
"001222,""怡泰街, 柴灣道"",""Yee Tai Street, Chai Wan Road"""
"001223,""宏德居, 柴灣道"",""Walton Estate, Chai Wan Road"""
"001224,""漁灣邨, 柴灣道"",""Yue Wan Estate, Chai Wan Road"""
"001225,""常安街, 柴灣道"",""Sheung On Street, Chai Wan Road"""
"001226,""富城閣, 柴灣道"",""Fu Shing Court, Chai Wan Road"""
"001227,""樂軒臺, 柴灣道"",""Lok Hin Terrace, Chai Wan Road"""
"001228,""環翠商場, 柴灣道"",""Wan Tsui Shopping Centre, Chai Wan Road"""
"001229,""天主教海星堂, 柴灣道"",""Star of the Sea Catholic Church, Chai Wan Road"""
"001230,""興民邨, 柴灣道"",""Hing Man Estate, Chai Wan Road"""
"001231,""山翠苑, 柴灣道"",""Shan Tsui Court, Chai Wan Road"""
"001232,""筲箕灣官立中學, 柴灣道"",""Shau Kei Wan Government Secondary School, Chai Wan Road"""
"001233,""阿公岩道, 柴灣道"",""A Kung Ngam Road, Chai Wan Road"""
"001234,""桂華山中學, 雲景道"",""CCC Kwei Wah Shan College, Cloud View Road"""
"001235,""富麗園, 雲景道"",""Flora Garden, Cloud View Road"""
"001236,""萬德閣, 雲景道"",""Maiden Court, Cloud View Road"""
"001237,""雲景台, 雲景道"",""Evelyn Towers, Cloud View Road"""
"001238,""北角協同中學, 雲景道"",""Concordia Lutheran School - North Point, Cloud View Road"""
"001239,""雲景道配水庫遊樂場, 雲景道"",""Cloud View Road Service Reservoir Playground, Cloud View Road"""
"001240,""海景台, 雲景道"",""Seaview Garden, Cloud View Road"""
"001241,""恆景園, 雲景道"",""Hanking Court, Cloud View Road"""
"001242,""雲峰大廈, 雲景道"",""Summit Court, Cloud View Road"""
"001243,""電氣道街市, 電氣道"",""Electric Road Market, Electric Road"""
"001244,""城市花園, 電氣道"",""City Garden, Electric Road"""
"001245,""聖彼得堂, 炮台山道"",""St. Peter's Church, Fortress Hill Road"""
"001246,""富嘉閣, 炮台山道"",""Fu Kar Court, Fortress Hill Road"""
"001247,""金文泰中學, 炮台山道"",""Clementi Secondary School, Fortress Hill Road"""
"001248,歌頓道,Gordon Road"
"001249,北角碼頭,North Point Ferry Pier"
"001250,寶馬山,Braemar Hill"
"001251,興發街,Hing Fat Street"
"001252,鰂魚涌 (海澤街),Quarry Bay (Hoi Chak Street)"
"001253,""康民工業中心, 康民街"",""Hong Man Industrial Centre, Hong Man Street"""
"001254,""北角道, 渣華道"",""North Point Road, Java Road"""
"001255,""渣華道市政大廈, 渣華道"",""Java Road Complex, Java Road"""
"001256,""琴行街, 渣華道"",""Kam Hong Street, Java Road"""
"001257,""電照街, 渣華道"",""Tin Chiu Street, Java Road"""
"001258,""北角消防局, 渣華道"",""North Point Fire Station, Java Road"""
"001259,""銀幕街, 英皇道"",""Ngan Mok Street, King's Road"""
"001260,""七海商業中心, 英皇道"",""7 Seas Shopping Centre, King's Road"""
"001261,""電廠街, 英皇道"",""Tin Chong Street, King's Road"""
"001262,""糖水道, 英皇道"",""Tong Shui Road, King's Road"""
"001263,""書局街, 英皇道"",""Shu Kuk Street, King's Road"""
"001264,""港運城, 英皇道"",""Island Place, King's Road"""
"001265,""健康村, 英皇道"",""Healthy Village, King's Road"""
"001266,""模範邨, 英皇道"",""Model Housing Estate, King's Road"""
"001267,""北角官立小學, 英皇道"",""North Point Government Primary School, King's Road"""
"001268,""新威園, 英皇道"",""Sunway Gardens, King's Road"""
